what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1404980933032
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1404980933075
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1404980933421
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1404980933688
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1404980933715
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1404980933752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404980973750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404980976984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981026537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981032235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981074930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981078999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981126639
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1404981129702
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404981130990
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404981131095
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404981156741
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404981156824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981177200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981178111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981179015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981193243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981198466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981751278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404981751862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404982081683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404982086410
